channel,timestamp,value,label,sampling,anomaly,segment,train
CADC0872,2022-01-27T02:20:37.000Z,-3.04275e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:42.000Z,-2.9464e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:47.000Z,-2.89207e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:52.000Z,-2.67146e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:20:57.000Z,-2.53361e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:02.000Z,-2.33974e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:07.000Z,-2.0079e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:13.000Z,-1.7453e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:17.000Z,-1.52391e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:22.000Z,-1.10869e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:27.000Z,-8.87801e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:32.000Z,-5.41242e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:38.000Z,-1.39513e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:42.000Z,1.09692e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:47.000Z,3.44311e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:52.000Z,7.17956e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:21:58.000Z,9.80393e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:02.000Z,1.20156e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:07.000Z,1.43636e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:12.000Z,1.57459e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:17.000Z,1.75417e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:22.000Z,1.89094e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:28.000Z,2.02959e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:32.000Z,2.04289e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:37.000Z,2.06972e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:42.000Z,2.15229e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:48.000Z,2.12357e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:52.000Z,2.15091e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:22:57.000Z,1.96979e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:02.000Z,1.91362e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:07.000Z,1.8585e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:12.000Z,1.76129e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:18.000Z,1.49763e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:22.000Z,1.428e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:27.000Z,1.12283e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:32.000Z,8.59167e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:37.000Z,5.81811e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:43.000Z,3.74283e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:47.000Z,8.25862e-07,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:52.000Z,-1.80812e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:23:57.000Z,-4.2987e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:02.000Z,-6.64667e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:07.000Z,-8.71896e-06,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:12.000Z,-1.20402e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:17.000Z,-1.31373e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:22.000Z,-1.56211e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:28.000Z,-1.78299e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:32.000Z,-1.90645e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:37.000Z,-2.07139e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:43.000Z,-2.22213e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:47.000Z,-2.3043e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:53.000Z,-2.38539e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:24:57.000Z,-2.41182e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:25:02.000Z,-2.54877e-05,anomaly,5,0,1964,0
CADC0872,2022-01-27T02:25:07.000Z,-2.56143e-05,anomaly,5,0,1964,0
